251, 1
281, 1
491, 1
675, 0
289, 0
777, 0
444, 0
916, 0
807, 0
344, 0
773, 1
177, 0
192, 0
540, 0
519, 0
159, 0
212, 0
539, 0
117, 0
755, 0
536, 0
664, 0
902, 0
644, 0
31, 1
175, 0
707, 0
635, 0
753, 0
12, 0
692, 0
919, 1
578, 0
995, 0
472, 0
376, 0
399, 0
401, 1
102, 0
894, 0
673, 1
326, 0
658, 0
481, 0
158, 0
320, 0
233, 1
368, 0
172, 0
377, 0
788, 0
111, 0
332, 0
925, 0
419, 1
903, 0
416, 0
961, 0
606, 0
372, 0
547, 1
662, 0
450, 0
226, 0
82, 0
506, 0
809, 1
994, 0
901, 0
661, 1
101, 1
660, 0
209, 0
302, 0
16, 0
195, 0
501, 0
500, 0
797, 1
535, 0
395, 0
700, 0
741, 0
964, 0
740, 0
953, 1
254, 0
896, 0
990, 0
974, 0
857, 1
309, 0
262, 0
836, 0
272, 0
624, 0
551, 0
61, 1
929, 1
113, 1
296, 0
43, 1
318, 0
897, 0
774, 0
576, 0
623, 0
480, 0
764, 0
719, 1
475, 0
957, 0
561, 0
742, 0
223, 1
778, 0
476, 0
314, 0
316, 0
10, 0
411, 0
731, 0
98, 0
9, 0
50, 0
824, 0
569, 1
152, 0
116, 0
984, 0
76, 0
350, 0
877, 1
299, 0
676, 0
7, 1
477, 0
197, 1
426, 0
834, 0
204, 0
498, 0
321, 0
941, 1
790, 0
869, 0
495, 0
52, 0
508, 0
179, 1
91, 0
190, 0
879, 0
346, 0
615, 0
518, 0
521, 1
367, 1
247, 0
189, 0
191, 1
482, 0
574, 0
770, 0
239, 1
171, 0
775, 0
781, 0
691, 1
30, 0
744, 0
57, 0
28, 0
605, 0
264, 0
643, 1
613, 1
84, 0
467, 1
283, 1
352, 0
715, 0
726, 0
585, 0
541, 1
298, 0
118, 0
656, 0
760, 0
11, 1
443, 1
269, 1
463, 1
712, 0
759, 0
499, 1
591, 0
253, 0
160, 0
892, 0
811, 1
642, 0
436, 0
513, 0
83, 1
142, 0
248, 0
62, 0
826, 0
42, 0
667, 0
469, 0
595, 0
816, 0
26, 0
855, 0
355, 0
